choir,唱詩班,(n.)
orchestra,樂團,(n.)
acclaim,讚賞,(v.)
resemble,像;與…相似,(v.)
auditorium,觀眾席,(n.)
salute,致敬;敬禮,(n.)
emigrate,移居國外;移民,(v.)
highest order,最高規模,(idiom.)
the stage is set (for something),為…做好準備,(idiom.)
rumor,謠言;傳聞,(v.)
continent,大洲,(n.)
in advance,提前,(idiom.)
domestic,家庭的,(adj.)
intentional,故意的,(adj.)
neglect,忽視,(v.)
tame,溫順的,(adj.)
livestock,家畜,(n.)
brutal,野蠻的,(adj.)
timid,羞怯的;膽小的,(adj.)
deliberate,故意的,(adj.)
aggression,攻擊,(n.)
manipulate,控制,(v.)
inhospitable,條件惡劣的,(adj.)
signify,表示;意味著,(v.)
stray,流浪的;走失的,(adj.)
vulnerable,脆弱的;易受影響的,(adj.)
investigate,調查,(v.)
shelters,收容所,(n.)
significant,重要的,(adj.)
but,除…外,(prep.)
groom,擦洗,(v.)
appropriate,適當的,(adj.)
awkward,難用的;難處理的,(adj.)
politely,有禮貌地,(adv.)
differ,與…不同,(v.)
head out,前往;離開去某處,(idiom.)
spaghetti,義大利麵條,(n.)
strategy,策略,(n.)
cross that bridge,船到橋頭自然直,(idiom.)
sanitary,"衛生的,乾淨的",(adj.)
silkworm,蠶,(n.)
ample,寬敞的;充足的,(n.)
abundant,豐富的;大量的,(adj.)
tuck,把…藏入;把…塞入,(v.)
prosperity,繁榮,(n.)
memorable,難忘的,(adj.)
thatch,用茅草覆蓋(屋頂),(v.)
Alps,阿爾卑斯山脈,(n.)
inscribe,登記入冊;題寫,(v.)
floodlight,泛光燈;泛光照明,(n.)
craft,(運用技巧)製作某物,(v.)
feature,"特色,特徵,特點",(n.)
steep,陡的,(adj.)
charm,魅力;吸引力,(n.)
heritage,遺產,(n.)
adapt,適應;改動;改造;改裝;改編,(v.)
light up,點亮,(idiom.)
restrict,限制;限定;妨礙,(v.)
spot,點;斑點;圓點,(n.)
distinct,獨特的;明顯的;明確的;難得的,(adj.)
embrace,欣然接受;擁抱,(v.)
